TimeStep Time Epsilon_xx Epsilon_yy Epsilon_zz Epsilon_yz Epsilon_xz Epsilon_xy Sigma_xx Sigma_yy Sigma_zz Sigma_yz Sigma_xz Sigma_xy Mises Pressure Norm
830 0.83 0.0083 -0.00349793 -0.00418537 -0.00145787 0.000184256 0.000904335 2.91945e+08 704.829 2961.09 346.833 -843.374 -338.337 2.91943e+08 -9.73162e+07 2.91945e+08
840 0.84 0.0084 -0.00354305 -0.00423693 -0.00147671 0.000186157 0.000916091 2.92445e+08 705.635 2960.59 345.873 -842.515 -337.708 2.92443e+08 -9.74828e+07 2.92445e+08
850 0.85 0.0085 -0.00358817 -0.00428846 -0.00149548 0.000188041 0.000927826 2.92943e+08 706.461 2960.13 344.943 -841.657 -337.068 2.92941e+08 -9.76489e+07 2.92943e+08
860 0.86 0.0086 -0.0036333 -0.00433996 -0.0015142 0.000189908 0.000939541 2.9344e+08 707.305 2959.73 344.04 -840.798 -336.419 2.93439e+08 -9.78147e+07 2.9344e+08
870 0.87 0.0087 -0.00367844 -0.00439143 -0.00153286 0.000191757 0.000951235 2.93936e+08 708.169 2959.39 343.163 -839.941 -335.761 2.93935e+08 -9.798e+07 2.93936e+08
880 0.88 0.0088 -0.00372357 -0.00444287 -0.00155146 0.00019359 0.000962909 2.94431e+08 709.052 2959.09 342.312 -839.084 -335.093 2.94429e+08 -9.81449e+07 2.94431e+08
890 0.89 0.0089 -0.00376871 -0.00449428 -0.00157001 0.000195407 0.000974563 2.94925e+08 709.956 2958.84 341.485 -838.227 -334.418 2.94923e+08 -9.83095e+07 2.94925e+08
900 0.9 0.009 -0.00381386 -0.00454565 -0.0015885 0.000197207 0.000986197 2.95417e+08 710.879 2958.64 340.682 -837.372 -333.735 2.95415e+08 -9.84736e+07 2.95417e+08
910 0.91 0.0091 -0.00385901 -0.004597 -0.00160693 0.000198992 0.000997813 2.95909e+08 711.823 2958.48 339.902 -836.517 -333.044 2.95907e+08 -9.86374e+07 2.95909e+08
920 0.92 0.0092 -0.00390415 -0.00464832 -0.00162532 0.000200761 0.00100941 2.96399e+08 712.787 2958.38 339.145 -835.663 -332.347 2.96397e+08 -9.88008e+07 2.96399e+08
930 0.93 0.0093 -0.00394931 -0.00469961 -0.00164364 0.000202515 0.00102099 2.96888e+08 713.771 2958.32 338.408 -834.811 -331.643 2.96886e+08 -9.89639e+07 2.96888e+08
940 0.94 0.0094 -0.00399446 -0.00475087 -0.00166192 0.000204254 0.00103255 2.97376e+08 714.777 2958.31 337.693 -833.96 -330.933 2.97374e+08 -9.91266e+07 2.97376e+08
950 0.95 0.0095 -0.00403961 -0.0048021 -0.00168014 0.000205978 0.00104409 2.97863e+08 715.803 2958.34 336.997 -833.109 -330.218 2.97861e+08 -9.92889e+07 2.97863e+08
960 0.96 0.0096 -0.00408477 -0.0048533 -0.00169831 0.000207687 0.00105561 2.98349e+08 716.85 2958.42 336.321 -832.261 -329.497 2.98347e+08 -9.94509e+07 2.98349e+08
970 0.97 0.0097 -0.00412993 -0.00490448 -0.00171643 0.000209381 0.00106712 2.98834e+08 717.919 2958.55 335.664 -831.413 -328.772 2.98832e+08 -9.96126e+07 2.98834e+08
980 0.98 0.0098 -0.00417508 -0.00495563 -0.00173449 0.000211062 0.00107861 2.99318e+08 719.008 2958.71 335.026 -830.568 -328.042 2.99316e+08 -9.97739e+07 2.99318e+08
990 0.99 0.0099 -0.00422024 -0.00500675 -0.00175251 0.000212728 0.00109008 2.99801e+08 720.118 2958.93 334.405 -829.723 -327.308 2.99799e+08 -9.99349e+07 2.99801e+08
1000 1 0.01 -0.0042654 -0.00505784 -0.00177048 0.00021438 0.00110154 3.00283e+08 721.25 2959.18 333.802 -828.88 -326.569 3.00281e+08 -1.00096e+08 3.00283e+08
1010 1.01 0.0101 -0.00431056 -0.00510891 -0.00178839 0.000216018 0.00111298 3.00764e+08 722.404 2959.48 333.215 -828.039 -325.827 3.00762e+08 -1.00256e+08 3.00764e+08
1020 1.02 0.0102 -0.00435571 -0.00515995 -0.00180626 0.000217643 0.0011244 3.01244e+08 723.579 2959.83 332.645 -827.199 -325.082 3.01242e+08 -1.00416e+08 3.01244e+08
1030 1.03 0.0103 -0.00440087 -0.00521096 -0.00182408 0.000219254 0.00113581 3.01723e+08 724.775 2960.21 332.092 -826.361 -324.334 3.01721e+08 -1.00576e+08 3.01723e+08
1040 1.04 0.0104 -0.00444602 -0.00526195 -0.00184184 0.000220851 0.0011472 3.02201e+08 725.994 2960.64 331.553 -825.525 -323.582 3.02199e+08 -1.00735e+08 3.02201e+08
1050 1.05 0.0105 -0.00449117 -0.00531292 -0.00185957 0.000222435 0.00115858 3.02679e+08 727.234 2961.11 331.03 -824.69 -322.828 3.02677e+08 -1.00894e+08 3.02679e+08
1060 1.06 0.0106 -0.00453632 -0.00536385 -0.00187724 0.000224006 0.00116994 3.03155e+08 728.496 2961.62 330.522 -823.857 -322.072 3.03153e+08 -1.01053e+08 3.03155e+08
1070 1.07 0.0107 -0.00458147 -0.00541477 -0.00189486 0.000225564 0.00118129 3.0363e+08 729.779 2962.17 330.028 -823.025 -321.313 3.03629e+08 -1.01211e+08 3.0363e+08
1080 1.08 0.0108 -0.00462662 -0.00546566 -0.00191244 0.000227109 0.00119262 3.04105e+08 731.085 2962.76 329.549 -822.196 -320.553 3.04103e+08 -1.0137e+08 3.04105e+08
1090 1.09 0.0109 -0.00467176 -0.00551652 -0.00192998 0.000228641 0.00120394 3.04579e+08 732.413 2963.39 329.084 -821.368 -319.79 3.04577e+08 -1.01527e+08 3.04579e+08
1100 1.1 0.011 -0.00471691 -0.00556736 -0.00194746 0.00023016 0.00121524 3.05052e+08 733.763 2964.07 328.632 -820.542 -319.026 3.0505e+08 -1.01685e+08 3.05052e+08
1110 1.11 0.0111 -0.00476204 -0.00561817 -0.00196491 0.000231667 0.00122653 3.05524e+08 735.135 2964.78 328.193 -819.717 -318.261 3.05522e+08 -1.01842e+08 3.05524e+08
1120 1.12 0.0112 -0.00480718 -0.00566896 -0.0019823 0.000233161 0.0012378 3.05995e+08 736.529 2965.53 327.768 -818.894 -317.494 3.05993e+08 -1.01999e+08 3.05995e+08
1130 1.13 0.0113 -0.00485231 -0.00571973 -0.00199965 0.000234642 0.00124907 3.06465e+08 737.946 2966.32 327.355 -818.073 -316.725 3.06463e+08 -1.02156e+08 3.06465e+08
1140 1.14 0.0114 -0.00489744 -0.00577047 -0.00201696 0.000236111 0.00126031 3.06934e+08 739.385 2967.15 326.955 -817.254 -315.956 3.06933e+08 -1.02313e+08 3.06934e+08
1150 1.15 0.0115 -0.00494257 -0.00582119 -0.00203422 0.000237568 0.00127155 3.07403e+08 740.846 2968.02 326.567 -816.437 -315.186 3.07401e+08 -1.02469e+08 3.07403e+08
1160 1.16 0.0116 -0.00498769 -0.00587189 -0.00205144 0.000239013 0.00128277 3.07871e+08 742.33 2968.93 326.191 -815.621 -314.415 3.07869e+08 -1.02625e+08 3.07871e+08
1170 1.17 0.0117 -0.00503281 -0.00592256 -0.00206862 0.000240445 0.00129397 3.08338e+08 743.836 2969.88 325.827 -814.807 -313.644 3.08336e+08 -1.02781e+08 3.08338e+08
1180 1.18 0.0118 -0.00507792 -0.00597321 -0.00208575 0.000241865 0.00130517 3.08804e+08 745.365 2970.86 325.474 -813.994 -312.872 3.08802e+08 -1.02936e+08 3.08804e+08
1190 1.19 0.0119 -0.00512303 -0.00602384 -0.00210284 0.000243273 0.00131635 3.0927e+08 746.917 2971.88 325.133 -813.184 -312.099 3.09268e+08 -1.03091e+08 3.0927e+08
1200 1.2 0.012 -0.00516813 -0.00607444 -0.00211989 0.00024467 0.00132752 3.09734e+08 748.491 2972.95 324.803 -812.375 -311.327 3.09733e+08 -1.03246e+08 3.09734e+08
1210 1.21 0.0121 -0.00521323 -0.00612503 -0.00213689 0.000246054 0.00133868 3.10198e+08 750.088 2974.04 324.485 -811.567 -310.554 3.10197e+08 -1.03401e+08 3.10198e+08
1220 1.22 0.0122 -0.00525833 -0.00617559 -0.00215386 0.000247426 0.00134982 3.10662e+08 751.709 2975.18 324.177 -810.762 -309.781 3.1066e+08 -1.03555e+08 3.10662e+08
1230 1.23 0.0123 -0.00530342 -0.00622613 -0.00217078 0.000248787 0.00136095 3.11124e+08 753.351 2976.35 323.879 -809.958 -309.007 3.11122e+08 -1.03709e+08 3.11124e+08
1240 1.24 0.0124 -0.0053485 -0.00627664 -0.00218766 0.000250136 0.00137207 3.11586e+08 755.017 2977.56 323.592 -809.156 -308.234 3.11584e+08 -1.03863e+08 3.11586e+08
1250 1.25 0.0125 -0.00539358 -0.00632714 -0.00220451 0.000251474 0.00138318 3.12046e+08 756.706 2978.8 323.316 -808.355 -307.461 3.12045e+08 -1.04017e+08 3.12046e+08
1260 1.26 0.0126 -0.00543865 -0.00637761 -0.00222131 0.000252799 0.00139427 3.12507e+08 758.417 2980.08 323.049 -807.556 -306.689 3.12505e+08 -1.0417e+08 3.12507e+08
1270 1.27 0.0127 -0.00548372 -0.00642807 -0.00223807 0.000254113 0.00140536 3.12966e+08 760.152 2981.4 322.793 -806.759 -305.916 3.12964e+08 -1.04323e+08 3.12966e+08
1280 1.28 0.0128 -0.00552878 -0.0064785 -0.00225479 0.000255416 0.00141643 3.13425e+08 761.91 2982.75 322.547 -805.963 -305.144 3.13423e+08 -1.04476e+08 3.13425e+08
1290 1.29 0.0129 -0.00557383 -0.00652891 -0.00227147 0.000256707 0.00142749 3.13883e+08 763.691 2984.14 322.31 -805.169 -304.372 3.13881e+08 -1.04629e+08 3.13883e+08
1300 1.3 0.013 -0.00561888 -0.0065793 -0.00228812 0.000257987 0.00143854 3.1434e+08 765.496 2985.56 322.082 -804.376 -303.6 3.14338e+08 -1.04781e+08 3.1434e+08
1310 1.31 0.0131 -0.00566392 -0.00662967 -0.00230472 0.000259256 0.00144958 3.14796e+08 767.323 2987.02 321.865 -803.585 -302.829 3.14795e+08 -1.04933e+08 3.14796e+08
1320 1.32 0.0132 -0.00570896 -0.00668002 -0.00232129 0.000260513 0.00146061 3.15252e+08 769.174 2988.52 321.656 -802.796 -302.059 3.1525e+08 -1.05085e+08 3.15252e+08
